timestamp,Vref1m_raw,Vref1m_volts,Vref2m_raw,Vref2m_volts,Vref3m_raw,Vref3m_volts,Vref4m_raw,Vref4m_volts,VTEMP1_raw,VTEMP1_volts,VTEMP2_raw,VTEMP2_volts,VTEMP3_raw,VTEMP3_volts,VTEMP4_raw,VTEMP4_volts,V1V2HM1_current_raw,V1V2HM1_current_volts,V1V2HM2_current_raw,V1V2HM2_current_volts,V1V2HM3_current_raw,V1V2HM3_current_volts,V1V2HM4_current_raw,V1V2HM4_current_volts
2025-10-16 11:16:11,72,0.0878,799,0.9740,800,0.9752,800,0.9752,638,0.6237,542,0.5298,585,0.5718,577,0.5640,-87,-1.2788,35,0.5145,38,0.5586,37,0.5439
2025-10-16 11:16:17,73,0.0890,799,0.9740,800,0.9752,801,0.9764,638,0.6237,543,0.5308,584,0.5709,577,0.5640,30,0.4410,37,0.5439,38,0.5586,38,0.5586
2025-10-16 11:16:23,72,0.0878,800,0.9752,801,0.9764,800,0.9752,637,0.6227,544,0.5318,583,0.5699,578,0.5650,30,0.4410,37,0.5439,38,0.5586,37,0.5439
2025-10-16 11:16:29,72,0.0878,800,0.9752,800,0.9752,799,0.9740,637,0.6227,544,0.5318,584,0.5709,578,0.5650,31,0.4557,36,0.5292,38,0.5586,37,0.5439
2025-10-16 11:16:36,72,0.0878,800,0.9752,801,0.9764,801,0.9764,637,0.6227,542,0.5298,584,0.5709,576,0.5630,30,0.4410,36,0.5292,38,0.5586,37,0.5439
